timestamp,message
1769326552072,[2026-01-25 07:35:52] CANDLE | Close=881.26 | Ret%=0.0064 | Signal=1
1769326672571,[2026-01-25 07:37:52] CANDLE | Close=881.37 | Ret%=0.0059 | Signal=1
1769326761586,[2026-01-25 07:39:21] CANDLE | Close=881.46 | Ret%=0.0082 | Signal=1
1769326977571,[2026-01-25 07:42:57] CANDLE | Close=881.45 | Ret%=0.0118 | Signal=1
1769326999073,[2026-01-25 07:43:19] CANDLE | Close=881.45 | Ret%=0.0032 | Signal=0
1769326999073,[2026-01-25 07:43:19] EXIT LONG @ 881.45 | PnL=0.59 | Balance=10002.33
1769327042573,[2026-01-25 07:44:02] CANDLE | Close=881.29 | Ret%=0.0007 | Signal=0
1769327258072,[2026-01-25 07:47:38] CANDLE | Close=881.0 | Ret%=-0.0084 | Signal=-1
1769327258072,[2026-01-25 07:47:38] ENTER SHORT @ 881.0
1769327396570,[2026-01-25 07:49:56] CANDLE | Close=880.55 | Ret%=-0.0207 | Signal=-1
1769327788568,[2026-01-25 07:56:28] CANDLE | Close=880.32 | Ret%=-0.0257 | Signal=-1
1769327930076,[2026-01-25 07:58:50] CANDLE | Close=879.9 | Ret%=-0.0352 | Signal=-1
1769328025082,[2026-01-25 08:00:25] CANDLE | Close=879.99 | Ret%=-0.0295 | Signal=-1
1769328279076,[2026-01-25 08:04:39] CANDLE | Close=880.89 | Ret%=-0.0025 | Signal=0
1769328279076,[2026-01-25 08:04:39] EXIT SHORT @ 880.89 | PnL=0.11 | Balance=10002.44
1769328313581,[2026-01-25 08:05:13] CANDLE | Close=881.0 | Ret%=0.0102 | Signal=1
1769328313582,[2026-01-25 08:05:13] ENTER LONG @ 881.0
1769328529076,[2026-01-25 08:08:49] CANDLE | Close=881.54 | Ret%=0.0277 | Signal=1
1769328553568,[2026-01-25 08:09:13] CANDLE | Close=881.62 | Ret%=0.0391 | Signal=1
1769328933084,[2026-01-25 08:15:33] CANDLE | Close=882.14 | Ret%=0.0488 | Signal=1
1769329220569,[2026-01-25 08:20:20] CANDLE | Close=880.98 | Ret%=0.0021 | Signal=0
1769329220570,[2026-01-25 08:20:20] EXIT LONG @ 880.98 | PnL=-0.02 | Balance=10002.42
1769329280071,[2026-01-25 08:21:20] CANDLE | Close=881.1 | Ret%=0.0023 | Signal=0
1769329369070,[2026-01-25 08:22:49] CANDLE | Close=881.3 | Ret%=-0.0054 | Signal=-1
1769329369070,[2026-01-25 08:22:49] ENTER SHORT @ 881.3
1769329975075,[2026-01-25 08:32:55] CANDLE | Close=881.24 | Ret%=-0.0086 | Signal=-1
1769330314578,[2026-01-25 08:38:34] CANDLE | Close=879.22 | Ret%=-0.0662 | Signal=-1
1769330342570,[2026-01-25 08:39:02] CANDLE | Close=879.76 | Ret%=-0.0277 | Signal=-1
1769330444570,[2026-01-25 08:40:44] CANDLE | Close=878.95 | Ret%=-0.0488 | Signal=-1
1769330462077,[2026-01-25 08:41:02] CANDLE | Close=878.67 | Ret%=-0.0597 | Signal=-1
1769330567570,[2026-01-25 08:42:47] CANDLE | Close=878.99 | Ret%=-0.0511 | Signal=-1
1769330697571,[2026-01-25 08:44:57] CANDLE | Close=879.26 | Ret%=0.0009 | Signal=0
1769330697571,[2026-01-25 08:44:57] EXIT SHORT @ 879.26 | PnL=2.04 | Balance=10004.46
1769330739570,[2026-01-25 08:45:39] CANDLE | Close=878.9 | Ret%=-0.0195 | Signal=-1
1769330739570,[2026-01-25 08:45:39] ENTER SHORT @ 878.9
1769330818069,[2026-01-25 08:46:58] CANDLE | Close=878.47 | Ret%=-0.0109 | Signal=-1
1769330850069,[2026-01-25 08:47:30] CANDLE | Close=878.01 | Ret%=-0.0150 | Signal=-1
1769330928568,[2026-01-25 08:48:48] TIME WINDOW EXPIRED â€” stopping run
1769330928696,[2026-01-25 08:48:48] RUN COMPLETED